variable,domain,data_type,admissible_values,hard_limits,soft_limits
sex,Demographics,integer,1;2;3,,
age,Demographics,integer,,0;120,18;100
enrollment_year,Demographics,integer,,1900;2026,1990;2026
race,Demographics,integer,1;2;3;4;5,,
latino,Demographics,integer,0;1,,
education,Demographics,integer,1;2;3;4;5,,
exp_cigarette_ever,Exposures,integer,0;1,,
exp_cigarette_current,Exposures,integer,0;1,,
exp_cigarette_start_age,Exposures,float,,0;120,5;90
exp_cigarette_end_age,Exposures,float,,0;120,5;100
exp_cigar_ever,Exposures,integer,0;1,,
exp_cigar_current,Exposures,integer,0;1,,
exp_cigar_start_age,Exposures,float,,0;120,5;90
exp_cigar_end_age,Exposures,float,,0;120,5;100
exp_pipe_ever,Exposures,integer,0;1,,
exp_pipe_current,Exposures,integer,0;1,,
exp_pipe_start_age,Exposures,float,,0;120,5;90
exp_pipe_end_age,Exposures,float,,0;120,5;100
exp_alcohol,Exposures,integer,0;1,,
exp_coffee,Exposures,integer,0;1,,
exp_tea,Exposures,integer,0;1,,
exp_soda,Exposures,integer,0;1,,
exp_farm,Exposures,integer,0;1;2,,
exp_pesticide_outside,Exposures,integer,0;1,,
exp_pesticide_inside,Exposures,integer,0;1,,
exp_well_water,Exposures,integer,0;1,,
exp_cigarette_amount,Exposures,float,,0;100,0;60
exp_coffee_amount,Exposures,float,,0;50,0;30
ndg_disease,Health Conditions,integer,0;1,,
type_ndg_disease,Health Conditions,integer,0;1;2;3;4;5;6;7,,
parkinsons_disease,Health Conditions,integer,0;1,,
fam_hist_pd,Health Conditions,integer,0;1,,
cancer,Health Conditions,integer,0;1,,
type_cancer,Health Conditions,integer,0;1;2;3,,
stroke,Health Conditions,integer,0;1,,
heart_attack,Health Conditions,integer,0;1,,
high_blood_pressure,Health Conditions,integer,0;1,,
epilepsy,Health Conditions,integer,0;1,,
multiple_sclerosis,Health Conditions,integer,0;1,,
alzheimers,Health Conditions,integer,0;1,,
lou_gehrig,Health Conditions,integer,0;1,,
depression,Health Conditions,integer,0;1,,
anxiety,Health Conditions,integer,0;1,,
ocd,Health Conditions,integer,0;1,,
schizophrenia,Health Conditions,integer,0;1,,
diabetes,Health Conditions,integer,0;1,,
head_injury,Health Conditions,integer,0;1,,
lupus,Health Conditions,integer,0;1,,
arthritis,Health Conditions,integer,0;1,,
type_arthiritis,Health Conditions,integer,1;2,,
allergies,Health Conditions,integer,0;1,,
other_condition,Health Conditions,integer,0;1,,
thyroid_disease,Health Conditions,integer,0;1,,
family_history_tremor,Health Conditions,integer,0;1,,
family_history_dementia,Health Conditions,integer,0;1,,
aspirin,Medications,integer,0;1,,
baby_aspirin,Medications,integer,0;1,,
acetaminophen,Medications,integer,0;1,,
pd_levodopa,Medications,integer,0;1,,
pd_dopamine_agonist,Medications,integer,0;1,,
statin,Medications,integer,0;1,,
female_hormones,Miscellaneous,integer,0;1,,
gds_1,GDS,integer,0;1,,
gds_2,GDS,integer,0;1,,
gds_3,GDS,integer,0;1,,
gds_4,GDS,integer,0;1,,
gds_5,GDS,integer,0;1,,
gds_6,GDS,integer,0;1,,
gds_7,GDS,integer,0;1,,
gds_8,GDS,integer,0;1,,
gds_9,GDS,integer,0;1,,
gds_10,GDS,integer,0;1,,
gds_11,GDS,integer,0;1,,
gds_12,GDS,integer,0;1,,
gds_13,GDS,integer,0;1,,
gds_14,GDS,integer,0;1,,
gds_15,GDS,integer,0;1,,
gds_score,GDS,integer,,0;15,0;15
gds_cat,GDS,integer,1;2;3,,
completed_mmse,MMSE,integer,0;1,,
mmse_date,MMSE,integer,0;1,,
mmse_year,MMSE,integer,0;1,,
mmse_month,MMSE,integer,0;1,,
mmse_day,MMSE,integer,0;1,,
mmse_season,MMSE,integer,0;1,,
mmse_county,MMSE,integer,0;1,,
mmse_city,MMSE,integer,0;1,,
mmse_state,MMSE,integer,0;1,,
mmse_score,MMSE,float,,0;30,5;30
hy_stage,Hoehn & Yahr,integer,0;1;2;3;4;5,,
nm_gastrointestinal,NMSS / SCOPA & UPDRS,integer,0;1,,
nm_urinary,NMSS / SCOPA & UPDRS,integer,0;1,,
nm_sleep,NMSS / SCOPA & UPDRS,integer,0;1,,
nm_cardiovascular,NMSS / SCOPA & UPDRS,integer,0;1,,
nm_sexual,NMSS / SCOPA & UPDRS,integer,0;1,,
nm_mood,NMSS / SCOPA & UPDRS,integer,0;1,,
nm_hallucinations,NMSS / SCOPA & UPDRS,integer,0;1,,
nm_attention_memory,NMSS / SCOPA & UPDRS,integer,0;1,,
