target_variable,source_columns,recode,param
sex,sex,hbs_sex,
age,dob,hbs_age_from_dob,
enrollment_year,enrollment_date,hbs_year_of,
race,race___1;race___2;race___3;race___4;race___5;race___98;race___99,hbs_race_checkbox,
latino,ethnicity,hbs_binary,
education,education,hbs_education_bins,
exp_cigarette_ever,smoke;smoked_selected___1;smoke_fu;smoked_selected_fu___1,hbs_smoke_type,
exp_cigarette_current,currently_not_smoke_cigaret;currently_not_smoke_cigaret_fu;current_average_cigarettes;current_average_cigarettes_fu,hbs_current_smoker,
exp_cigarette_start_age,current_age_cigarettes;current_age_cigarettes_fu,hbs_coalesce_num,
exp_cigarette_end_age,age_quit_cigarettes;age_quit_cigarettes_fu,hbs_coalesce_num,
exp_cigar_ever,smoke;smoked_selected___2;smoke_fu;smoked_selected_fu___2,hbs_smoke_type,
exp_cigar_current,currently_not_smoke_cigar;currently_not_smoke_cigar_fu;current_average_cigars;current_average_cigars_fu,hbs_current_smoker,
exp_cigar_start_age,current_age_cigars;current_age_cigars_fu,hbs_coalesce_num,
exp_cigar_end_age,age_quit_cigars;age_quit_cigars_fu,hbs_coalesce_num,
exp_pipe_ever,smoke;smoked_selected___3;smoke_fu;smoked_selected_fu___3,hbs_smoke_type,
exp_pipe_current,currently_not_smoke_pipes;currently_not_smoke_pipes_fu;current_average_pipes;current_average_pipes_fu,hbs_current_smoker,
exp_pipe_start_age,current_age_pipes;current_age_pipes_fu,hbs_coalesce_num,
exp_pipe_end_age,age_quit_pipes;age_quit_pipes_fu,hbs_coalesce_num,
exp_alcohol,alcohol;alcohol_fu,hbs_alcohol,
exp_coffee,current_coffee;current_coffee_fu,hbs_coalesce_bin,
exp_tea,tea;tea_fu,hbs_coalesce_bin,
exp_soda,soda;soda_fu,hbs_coalesce_bin,
exp_farm,farm;farmfu,hbs_farm,
exp_pesticide_outside,outside_self;outside_selffu,hbs_pesticide,3
exp_pesticide_inside,inside_self;inside_selffu,hbs_pesticide,2
exp_well_water,pdrf_22;pdrf_22_fu,hbs_coalesce_bin,
exp_cigarette_amount,current_average_cigarettes,hbs_coalesce_num,
exp_coffee_amount,coffee_perday,hbs_coalesce_num,
ndg_disease,enrollment_category;nc_ie3,hbs_ndg,
type_ndg_disease,diagnosis,hbs_direct,
parkinsons_disease,pd_ie3,hbs_binary,
fam_hist_pd,fam_hist_pd;fam_hist_pd_fu,hbs_any_of,
cancer,breast_cancer;breast_cancer_fu;colon_or_rectal_cancer;colon_or_rectal_cancer_fu;pdself_prostate_cancer;pdself_prostate_cancer_fu,hbs_any_of,
type_cancer,breast_cancer;breast_cancer_fu;colon_or_rectal_cancer;colon_or_rectal_cancer_fu;pdself_prostate_cancer;pdself_prostate_cancer_fu,hbs_type_cancer,
stroke,stroke;stroke_4823fe_fu,hbs_any_of,
heart_attack,myocardial_infarction_hear;myocardial_infarction_hear_fu,hbs_any_of,
high_blood_pressure,high_blood_pressure;high_blood_pressure_fu,hbs_any_of,
epilepsy,epilepsy;epilepsy_fu,hbs_any_of,
multiple_sclerosis,multiple_sclerosis;multiple_sclerosis_fu,hbs_any_of,
alzheimers,alzheimers_dementia;alzheimers_dementia_fu,hbs_any_of,
lou_gehrig,als_lou_gehrig_disease;als_lou_gehrig_disease_fu,hbs_any_of,
depression,major_depressive_disorder;major_depressive_disorder_fu,hbs_any_of,
anxiety,anxiety_disorder;anxiety_disorder_fu,hbs_any_of,
ocd,obsessive_compulsive_disor;obsessive_compulsive_disor_fu,hbs_any_of,
schizophrenia,schizophrenia;schizophrenia_fu,hbs_any_of,
diabetes,diabetes;diabetes_fu,hbs_any_of,
head_injury,pdrf_1;pdrf_1_fu;pdrf_2;pdrf_2_fu;traumatic_head_injury;traumatic_head_injury_fu,hbs_head_injury,
lupus,lupus;lupus_fu,hbs_any_of,
arthritis,osteoarthritis_osteoperosi;osteoarthritis_osteoperosi_fu;rheumatoid_arthritis;rheumatoid_arthritis_fu,hbs_any_of,
type_arthiritis,osteoarthritis_osteoperosi;osteoarthritis_osteoperosi_fu;rheumatoid_arthritis;rheumatoid_arthritis_fu,hbs_arthritis_type,
allergies,allergies;allergies_fu,hbs_any_of,
other_condition,other_major_illness_or_sur;other_major_illness_or_sur_fu,hbs_any_of,
thyroid_disease,hypothyroidism;graves_disease_hyperthyroid,hbs_any_of,
family_history_tremor,fam_hist_tremor;fam_hist_et,hbs_any_of,
family_history_dementia,fam_hist_dementia;fam_hist_ad,hbs_any_of,
aspirin,aspirin;aspirin_fu,hbs_med_flag,
baby_aspirin,baby_or_low_dose_aspirin;baby_or_low_dose_aspirin_fu,hbs_med_flag,
acetaminophen,tylenol_acetaminophen;tylenol_acetaminophen_fu,hbs_med_flag,
pd_levodopa,sinemet_carbidopa_levodopa;sinemet_carbidopa_levodopa_fu;sinemet_cr;sinemet_cr_fu;sinemet_cr_25100;sinemet_cr_25100_fu,hbs_med_flag,
pd_dopamine_agonist,mirapex;mirapex_fu;requip;requip_fu;requip_xl;requip_xl_fu,hbs_med_flag,
statin,mevacor;mevacor_fu;pravachol;pravachol_fu;zocor;zocor_fu;lipitor;lipitor_fu;crestor;crestor_fu;statin_other;statin_other_fu,hbs_med_flag,
female_hormones,female_hormones_current;female_hormones_current_fu;female_combined;female_combined_fu;female_estrogen;female_estrogen_fu,hbs_any_of,
gds_1,gds1;gds1_fu,hbs_coalesce_bin,
gds_2,gds2;gds2_fu,hbs_coalesce_bin,
gds_3,gds3;gds3_fu,hbs_coalesce_bin,
gds_4,gds4;gds4_fu,hbs_coalesce_bin,
gds_5,gds5;gds5_fu,hbs_coalesce_bin,
gds_6,gds6;gds6_fu,hbs_coalesce_bin,
gds_7,gds7;gds7_fu,hbs_coalesce_bin,
gds_8,gds8;gds8_fu,hbs_coalesce_bin,
gds_9,gds9;gds9_fu,hbs_coalesce_bin,
gds_10,gds10;gds10_fu,hbs_coalesce_bin,
gds_11,gds11;gds11_fu,hbs_coalesce_bin,
gds_12,gds12;gds12_fu,hbs_coalesce_bin,
gds_13,gds13;gds13_fu,hbs_coalesce_bin,
gds_14,gds14;gds14_fu,hbs_coalesce_bin,
gds_15,gds15;gds15_fu,hbs_coalesce_bin,
gds_score,gds1;gds2;gds3;gds4;gds5;gds6;gds7;gds8;gds9;gds10;gds11;gds12;gds13;gds14;gds15,hbs_gds_sum,
gds_cat,gds1;gds2;gds3;gds4;gds5;gds6;gds7;gds8;gds9;gds10;gds11;gds12;gds13;gds14;gds15,hbs_gds_cat,
completed_mmse,cognitive_exams_670e_complete,hbs_mmse_complete,
mmse_date,mmse_o3,hbs_binary,
mmse_year,mmse_o1,hbs_binary,
mmse_month,mmse_o5,hbs_binary,
mmse_day,mmse_o4,hbs_binary,
mmse_season,mmse_o2,hbs_binary,
mmse_county,mmse_o7,hbs_binary,
mmse_city,mmse_o8,hbs_binary,
mmse_state,mmse_o6,hbs_binary,
mmse_score,mmse_total_score,hbs_mmse_score,
hy_stage,hoehn_yahr,hbs_hy,
nm_gastrointestinal,scopa_1;scopa_2;scopa_5,hbs_scopa_thresh,
nm_urinary,scopa_8;scopa_12;scopa_13,hbs_scopa_thresh,
nm_sleep,updrs_sleep_problems,hbs_scopa_thresh,
nm_cardiovascular,scopa_14;scopa_15;scopa_16;updrs_light_headedness,hbs_scopa_thresh,
nm_sexual,scopa_23;scopa_24;scopa_25,hbs_scopa_thresh,
nm_mood,updrs_depressed_mood;updrs_anxious_mood;updrs_apathy,hbs_scopa_thresh,
nm_hallucinations,updrs_hallucinations,hbs_scopa_thresh,
nm_attention_memory,updrs_cognitive_impairment,hbs_scopa_thresh,
