target_variable,source_columns,recode,param
sex,sex,sex_text,
age,age,numeric,
enrollment_year,,unavailable,
race,A3A_*;A3B_*;A3C_*;A3D_*;A3E_*;A3F_*,derive_race,
latino,A3C_MexicanAmerican;A3C_CentralorSouthAmerican;A3C_PuertoRican;A3C_LatinoOther,derive_latino,
education,A2_SchGrade,education_map,
exp_cigarette_ever,D3D_Smoked,binary,
exp_cigarette_current,D3D_Exposure,cig_current,
exp_cigarette_start_age,D3D_FirstUse,numeric,
exp_cigarette_end_age,D3D_LastUse,numeric,
exp_cigar_ever,D3A_Smoked,binary,
exp_cigar_current,D3A_Exposure,cig_current,
exp_cigar_start_age,D3A_FirstUse,numeric,
exp_cigar_end_age,D3A_LastUse,numeric,
exp_pipe_ever,D3B_Smoked,binary,
exp_pipe_current,D3B_Exposure,cig_current,
exp_pipe_start_age,D3B_FirstUse,numeric,
exp_pipe_end_age,D3B_LastUse,numeric,
exp_alcohol,,unavailable,
exp_coffee,E1A_CoffeeDrip;E1B_CoffeeInstant,gt0_any,
exp_tea,E1D_TeaCaffeine;E1E_TeaNoCaffeine,gt0_any,
exp_soda,,unavailable,
exp_farm,B1_Farm,passthrough_int,
exp_pesticide_outside,B7_ChemicalsHousehold,binary,
exp_pesticide_inside,B9_PCDInsect,binary,
exp_well_water,,unavailable,
exp_cigarette_amount,D4A_PerAmount,numeric,
exp_coffee_amount,E1A_CoffeeDripDay;E1A_CoffeeDripWeek;E1A_CoffeeDripMonth,numeric_todo,
ndg_disease,,unavailable,
type_ndg_disease,,unavailable,
parkinsons_disease,,unavailable,
fam_hist_pd,,unavailable,
cancer,A1_Brain;A2_Breast,any_of,
type_cancer,A1_Brain;A2_Breast,any_of,
stroke,B1_Stroke,binary,
heart_attack,B2_HeartAttack,binary,
high_blood_pressure,B3_HighBloodPressure,binary,
epilepsy,C2_Epilepsy,binary,
multiple_sclerosis,C3_MultipleSclerosis,binary,
alzheimers,C6_Alzheimers,binary,
lou_gehrig,C7_LouGehrigs,binary,
depression,C11_Depression,binary,
anxiety,C12_Anxiety,binary,
ocd,C13_ObsessiveCompulsiveDisorder,binary,
schizophrenia,C14_Schizophrenia,binary,
diabetes,D6_YoungOnsetorInsulinDependent;D7_AdultOnsetDiabetesAge,any_of,
head_injury,C10_HeadInjury,binary,
lupus,D9_LupusErythematosus,binary,
arthritis,D11_Arthritis,binary,
type_arthiritis,D12_Osteoarthritis;D8_RheumatoidArthritis,arthritis_type,
allergies,,unavailable,
other_condition,,unavailable,
thyroid_disease,D5_Thyroid,binary,
family_history_tremor,,unavailable,
family_history_dementia,,unavailable,
aspirin,M_Aspirin,binary,
baby_aspirin,,unavailable,
acetaminophen,M_Acetaminophen,binary,
pd_levodopa,,unavailable,
pd_dopamine_agonist,,unavailable,
statin,M_Cholesterol,binary,
female_hormones,,unavailable,
gds_1,,unavailable,
gds_2,,unavailable,
gds_3,,unavailable,
gds_4,,unavailable,
gds_5,,unavailable,
gds_6,,unavailable,
gds_7,,unavailable,
gds_8,,unavailable,
gds_9,,unavailable,
gds_10,,unavailable,
gds_11,,unavailable,
gds_12,,unavailable,
gds_13,,unavailable,
gds_14,,unavailable,
gds_15,,unavailable,
gds_score,,unavailable,
gds_cat,,unavailable,
completed_mmse,,unavailable,
mmse_date,,unavailable,
mmse_year,,unavailable,
mmse_month,,unavailable,
mmse_day,,unavailable,
mmse_season,,unavailable,
mmse_county,,unavailable,
mmse_city,,unavailable,
mmse_state,,unavailable,
mmse_score,,unavailable,
hy_stage,,unavailable,
nm_gastrointestinal,,unavailable,
nm_urinary,,unavailable,
nm_sleep,,unavailable,
nm_cardiovascular,,unavailable,
nm_sexual,,unavailable,
nm_mood,,unavailable,
nm_hallucinations,,unavailable,
nm_attention_memory,,unavailable,
